iteration,file,triples,loadTime,query1,query2
1,../data/edm_data34.nt,10000000,289.27,0.21,0.49
1,../data/edm_data35.nt,10000000,254.31,0.63,0.53
1,../data/edm_data36.nt,10000000,307.24,1.39,0.09
1,../data/edm_data37.nt,10000000,356.72,1.26,0.07
1,../data/edm_data38.nt,2629063,108.19,0.76,0.03
2,../data/edm_data00.nt,10000000,76.99,0.02,0.02
2,../data/edm_data01.nt,10000000,79.82,0.02,0.02
2,../data/edm_data02.nt,10000000,79.97,0.03,0.02
2,../data/edm_data03.nt,10000000,79.31,0.02,0.02
2,../data/edm_data04.nt,10000000,78.84,0.03,0.02
2,../data/edm_data05.nt,10000000,84.44,0.03,0.02
2,../data/edm_data06.nt,10000000,83.21,0.03,0.03
2,../data/edm_data07.nt,10000000,84.24,0.02,0.03
2,../data/edm_data08.nt,10000000,97.86,0.06,0.03
2,../data/edm_data09.nt,10000000,93.4,0.03,0.03
2,../data/edm_data10.nt,10000000,92.26,0.1,0.02
2,../data/edm_data11.nt,10000000,89.0,0.04,0.03
2,../data/edm_data12.nt,10000000,88.29,0.12,0.05
2,../data/edm_data13.nt,10000000,93.07,0.67,0.03
2,../data/edm_data14.nt,10000000,91.32,0.03,0.1
2,../data/edm_data15.nt,10000000,131.75,0.16,0.14
2,../data/edm_data16.nt,10000000,123.82,0.36,0.18
2,../data/edm_data17.nt,10000000,90.21,0.6,0.04
2,../data/edm_data18.nt,10000000,105.66,2.26,0.03
2,../data/edm_data19.nt,10000000,118.21,1.53,0.78
2,../data/edm_data20.nt,10000000,127.25,0.19,0.1
2,../data/edm_data21.nt,10000000,110.21,0.04,0.03
2,../data/edm_data22.nt,10000000,121.01,0.41,0.18
2,../data/edm_data23.nt,10000000,118.08,1.58,0.04
2,../data/edm_data24.nt,10000000,138.84,0.83,0.25
2,../data/edm_data25.nt,10000000,129.01,0.27,0.03
2,../data/edm_data26.nt,10000000,113.92,0.71,0.22
2,../data/edm_data27.nt,10000000,118.6,0.11,0.68
